DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Fossil Hard coal	0.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Fossil Oil	0.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Hydro Run-of-river and poundage	24.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Fossil Gas	436.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Biomass	1.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Wind Onshore	2.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A990	CTY	MD CTY	MD	Solar	0.0		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Hydro Run-of-river and poundage	595.48		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Nuclear	2799.9		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Biomass	685.04		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Fossil Gas	248.18		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Fossil Hard coal	629.4		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Fossil Oil	10.3		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Fossil Peat	589.87		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Other renewable	10.51		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Waste	35.74		01/01/2022 05:07
2022-01-01 03:00:00.000	PT60M	10YFI-1--------U	CTY	FI CTY	FI	Other	130.15		01/01/2022 05:08
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	0.0	0.77	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1656.72	2.37	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	03/01/2022 18:47
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1395.37	8.56	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1667.28	168.56	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.9	0.0	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	21.42	0.0	29/01/2022 06:19
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	412.48	0.12	29/01/2022 06:18
2022-01-01 04:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1165.8	0.02	29/01/2022 06:18
2022-01-01 03:00:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Water Reservoir	62.73		01/01/2022 05:09
2022-01-01 03:30:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Offshore	5702.0		01/01/2022 05:11
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Run-of-river and poundage	1419.34		01/01/2022 05:18
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Hard coal	2014.09		01/01/2022 05:18
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Pumped Storage	129.25	3353.66	01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Gas	2642.04		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other renewable	126.15		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Biomass	4266.48		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Other	363.26		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Fossil Oil	279.14		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Hydro Water Reservoir	32.38		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Waste	831.28		01/01/2022 05:19
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Nuclear	3342.72		01/01/2022 05:19
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Hard coal	1668.0	2.3	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Solar	0.0	0.78	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Hydro Run-of-river and poundage	0.0	0.0	03/01/2022 18:48
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Waste	410.11	0.38	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Biomass	21.1	0.0	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Onshore	1201.36	0.02	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Nuclear	484.95	0.0	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Wind Offshore	1364.11	10.43	29/01/2022 06:01
2022-01-01 04:00:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Fossil Gas	1670.79	167.44	29/01/2022 06:01
2022-01-01 03:15:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Other	1141.04	1448.29	29/01/2022 05:19
2022-01-01 03:30:00.000	PT15M	10YNL----------L	CTY	NL CTY	NL	Other	1173.5	1439.7	29/01/2022 05:31
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Fossil Gas	502.26		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Wind Onshore	192.03		01/01/2022 06:23
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Solar	0.0	0.0	01/01/2022 05:21
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Solar	0.0		01/01/2022 05:21
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Hydro Water Reservoir	13.13		01/01/2022 06:23
2022-01-01 03:45:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Offshore	5365.48		01/01/2022 05:21
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Other renewable	253.09		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Fossil Coal-derived gas	73.88		01/01/2022 06:23
2022-01-01 03:15:00.000	PT15M	10Y1001A1001A83F	CTY	DE CTY	DE	Wind Onshore	20975.4	0.0	02/01/2022 00:03
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Biomass	256.7		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Fossil Hard coal	133.05		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Nuclear	3446.03		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Hydro Pumped Storage	0.0	1097.67	01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Waste	20.96		01/01/2022 06:23
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Fossil Oil	0.0		01/01/2022 05:21
2022-01-01 03:00:00.000	PT60M	10YCZ-CEPS-----N	CTY	CZ CTY	CZ	Hydro Run-of-river and poundage	129.81		01/01/2022 06:23
